date,new_cases,new_deaths,new_tests,location,population,life_expectancy,hospital_beds_per_thousand,gdp_per_capita,cases_per_million,deaths_per_million,tests_per_million
2020-05-06,1075.0,236.0,37771.0,Italy,60461828.0,83.51,3.18,35220.084,17.77981307478828,4.0,624.708204323561
2020-05-07,1444.0,369.0,13665.0,Italy,60461828.0,83.51,3.18,35220.084,23.882837283715602,6.0,226.01036806230866
2020-05-08,1401.0,274.0,45428.0,Italy,60461828.0,83.51,3.18,35220.084,23.17164476072407,5.0,751.350091499053
2020-05-09,1327.0,243.0,36091.0,Italy,60461828.0,83.51,3.18,35220.084,21.947732046738647,4.0,596.9220778438919
2020-05-10,1083.0,194.0,31384.0,Italy,60461828.0,83.51,3.18,35220.084,17.912127962786702,3.0,519.0713056178189
2020-05-11,802.0,165.0,25823.0,Italy,60461828.0,83.51,3.18,35220.084,13.264567521842045,3.0,427.09591909791413
2020-05-12,744.0,179.0,39620.0,Italy,60461828.0,83.51,3.18,35220.084,12.305284583853469,3.0,655.2894828121969
2020-05-13,1402.0,172.0,37049.0,Italy,60461828.0,83.51,3.18,35220.084,23.188184121723875,3.0,612.7667856817031
2020-05-14,888.0,195.0,41131.0,Italy,60461828.0,83.51,3.18,35220.084,14.686952567825108,3.0,680.2804572828992
2020-05-15,992.0,262.0,39027.0,Italy,60461828.0,83.51,3.18,35220.084,16.407046111804625,4.0,645.4816417393137
2020-05-16,789.0,242.0,40657.0,Italy,60461828.0,83.51,3.18,35220.084,13.049555828844605,4.0,672.4408001689926
2020-05-17,875.0,153.0,33505.0,Italy,60461828.0,83.51,3.18,35220.084,14.471940874827668,3.0,554.1512902984011
2020-05-18,675.0,145.0,26101.0,Italy,60461828.0,83.51,3.18,35220.084,11.164068674867059,2.0,431.6938614558594
2020-05-19,451.0,99.0,40226.0,Italy,60461828.0,83.51,3.18,35220.084,7.459251810911176,2.0,665.3123355780774
2020-05-20,813.0,162.0,38617.0,Italy,60461828.0,83.51,3.18,35220.084,13.44650049283988,3.0,638.7005037293943
2020-05-21,665.0,161.0,40644.0,Italy,60461828.0,83.51,3.18,35220.084,10.998675064869028,3.0,672.2257884759952
2020-05-22,642.0,156.0,42987.0,Italy,60461828.0,83.51,3.18,35220.084,10.618269761873558,3.0,710.9775112985337
2020-05-23,652.0,130.0,42579.0,Italy,60461828.0,83.51,3.18,35220.084,10.783663371871588,2.0,704.2294520106141
2020-05-24,669.0,119.0,34206.0,Italy,60461828.0,83.51,3.18,35220.084,11.064832508868239,2.0,565.7453823592631
2020-05-25,531.0,50.0,20676.0,Italy,60461828.0,83.51,3.18,35220.084,8.78240069089542,1.0,341.96782803192787
2020-05-26,300.0,92.0,33944.0,Italy,60461828.0,83.51,3.18,35220.084,4.961808299940915,2.0,561.4120697773147
2020-05-27,397.0,78.0,37299.0,Italy,60461828.0,83.51,3.18,35220.084,6.56612631692181,1.0,616.9016259316539
2020-05-28,584.0,117.0,39838.0,Italy,60461828.0,83.51,3.18,35220.084,9.65898682388498,2.0,658.8950635101539
2020-05-29,593.0,70.0,38233.0,Italy,60461828.0,83.51,3.18,35220.084,9.807841072883209,1.0,632.34938910547
2020-05-30,516.0,87.0,36051.0,Italy,60461828.0,83.51,3.18,35220.084,8.534310275898374,1.0,596.2605034038997
2020-05-31,416.0,111.0,28948.0,Italy,60461828.0,83.51,3.18,35220.084,6.880374175918068,2.0,478.78142222229866
2020-06-01,355.0,75.0,18053.0,Italy,60461828.0,83.51,3.18,35220.084,5.871473154930083,1.0,298.58508412944445
2020-06-02,178.0,60.0,25628.0,Italy,60461828.0,83.51,3.18,35220.084,2.9440062579649426,1.0,423.87074370295255
2020-06-03,318.0,55.0,20035.0,Italy,60461828.0,83.51,3.18,35220.084,5.25951679793737,1.0,331.3660976310541
2020-06-04,321.0,71.0,27451.0,Italy,60461828.0,83.51,3.18,35220.084,5.309134880936779,1.0,454.0219988055935
2020-06-05,177.0,88.0,40470.0,Italy,60461828.0,83.51,3.18,35220.084,2.92746689696514,1.0,669.3479396620294
2020-06-06,518.0,85.0,34036.0,Italy,60461828.0,83.51,3.18,35220.084,8.567388997897979,1.0,562.9336909892966
2020-06-07,270.0,72.0,27894.0,Italy,60461828.0,83.51,3.18,35220.084,4.465627469946823,1.0,461.34893572850626
2020-06-08,197.0,53.0,16301.0,Italy,60461828.0,83.51,3.18,35220.084,3.2582541169612007,1.0,269.6081236577895
2020-06-09,280.0,65.0,32200.0,Italy,60461828.0,83.51,3.18,35220.084,4.631021079944854,1.0,532.5674241936582
2020-06-10,283.0,79.0,37865.0,Italy,60461828.0,83.51,3.18,35220.084,4.680639162944263,1.0,626.2629042575425
2020-06-11,202.0,71.0,32991.0,Italy,60461828.0,83.51,3.18,35220.084,3.340950921960216,1.0,545.6500587445024
2020-06-12,379.0,53.0,37651.0,Italy,60461828.0,83.51,3.18,35220.084,6.268417818925355,1.0,622.7234810035847
2020-06-13,163.0,56.0,32880.0,Italy,60461828.0,83.51,3.18,35220.084,2.695915842967897,1.0,543.8141896735243
2020-06-14,346.0,78.0,29545.0,Italy,60461828.0,83.51,3.18,35220.084,5.722618905931855,1.0,488.65542073918107
2020-06-15,338.0,44.0,17463.0,Italy,60461828.0,83.51,3.18,35220.084,5.5903040179334305,1.0,288.82686113956066
2020-06-16,301.0,26.0,27762.0,Italy,60461828.0,83.51,3.18,35220.084,4.978347660940718,0.0,459.16574007653224
2020-06-17,210.0,34.0,33957.0,Italy,60461828.0,83.51,3.18,35220.084,3.47326580995864,1.0,561.6270814703122
2020-06-18,328.0,43.0,32921.0,Italy,60461828.0,83.51,3.18,35220.084,5.4249104079354,1.0,544.4923034745162
2020-06-19,331.0,66.0,28570.0,Italy,60461828.0,83.51,3.18,35220.084,5.4745284909348095,1.0,472.5295437643731
2020-06-20,297.5,47.0,29875.0,Italy,60461828.0,83.51,3.18,35220.084,4.9204598974414075,1.0,494.1134098691161
2020-06-21,264.0,49.0,24581.0,Italy,60461828.0,83.51,3.18,35220.084,4.366391303948005,1.0,406.5540327361588
2020-06-22,224.0,24.0,16152.0,Italy,60461828.0,83.51,3.18,35220.084,3.704816863955883,0.0,267.14375886881885
2020-06-23,221.0,23.0,23225.0,Italy,60461828.0,83.51,3.18,35220.084,3.655198780956474,0.0,384.12665922042584
